trading_code,company_name,sector,instrument_type,market_category,listing_status,observed_at,source_reference,verification_status
1JANATAMF,First Janata Bank Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
1STPRIMFMF,Prime Finance First Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AAMRANET,aamra networks limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AAMRATECH,aamra technologies limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ABB1STMF,AB Bank 1st Mutual fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ABBANK,AB Bank PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ABBLPBOND,AB Bank Perpetual Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ACFL,Aman Cotton Fibrous PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ACI,Advanced Chemical Industries PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ACIFORMULA,ACI Formulations PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ACMELAB,The ACME Laboratories Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ACMEPL,ACME Pesticides Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ACTIVEFINE,Active Fine Chemicals Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ADNTEL,ADN Telecom Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ADVENT,Advent Pharma Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AFCAGRO,AFC Agro Biotech Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AFTABAUTO,Aftab Automobiles Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AGNISYSL,Agni Systems PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AGRANINS,Agrani Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AIBLPBOND,AIBL Mudaraba Perpetual Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AIL,Alif Industries Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AL-HAJTEX,Al-Haj Textile Mills Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ALARABANK,Al-Arafah Islami Bank PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ALIF,Alif Manufacturing Company Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ALLTEX,Alltex Industries Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AMANFEED,Aman Feed PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AMBEEPHA,Ambee Pharmaceuticals PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AMCL(PRAN),Agricultural Marketing Company Ltd. (Pran),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ANLIMAYARN,Anlimayarn Dyeing Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ANWARGALV,Anwar Galvanizing Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AOL,Associated Oxygen Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
APEXFOODS,Apex Foods Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
APEXFOOT,Apex Footwear Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
APEXSPINN,Apex Spinning & Knitting Mills Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
APEXTANRY,Apex Tannery Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
APOLOISPAT,Appollo Ispat Complex Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
APSCLBOND,APSCL Non-Convertible and Fully Redeemable Coupon Bearing Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ARAMIT,Aramit Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ARAMITCEM,Aramit Cement Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ARGONDENIM,Argon Denims Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ASIAINS,Asia Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ASIAPACINS,Asia Pacific General Insurance PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ASIATICLAB,Asiatic Laboratories Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ATLASBANG,Atlas Bangladesh Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
AZIZPIPES,Aziz Pipes Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BANGAS,Bangas Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BANKASI1PB,Bank Asia 1st Perpetual Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BANKASIA,Bank Asia PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BARKAPOWER,Baraka Power Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BATASHOE,Bata Shoe Company (Bangladesh) Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BATBC,British American Tobacco Bangladesh Company Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BAYLEASING,Bay Leasing & Investment Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BBS,Bangladesh Building Systems PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BBSCABLES,BBS Cables PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDAUTOCA,Bangladesh Autocars Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDCOM,BDCOM Online Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDFINANCE,Bangladesh Finance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDLAMPS,Bangladesh Lamps PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDSERVICE,Bangladesh Services Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDTHAI,Bd.Thai Aluminium Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDTHAIFOOD,BD Thai Food & Beverage Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BDWELDING,Bangladesh Welding Electrodes Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BEACHHATCH,Beach Hatchery Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BEACONPHAR,Beacon Pharmaceuticals PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BENGALWTL,Bengal Windsor Thermoplastics PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BERGERPBL,Berger Paints Bangladesh Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BESTHLDNG,Best Holdings PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BEXGSUKUK,Beximco Green Sukuk Al Istisna'a,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BGIC,Bangladesh General Insurance Company PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BIFC,Bangladesh Industrial Fin. Co. Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BNICL,Bangladesh National Insurance Company Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
BPML,Bashundhara Paper Mills Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
